 name bs1  bs2
294       Solanum_chippendalei  SI <NA> y- this is diploid SI. SI listed only in statesICDP
300           Solanum_clarkiae  SC <NA> y- this is diploid SC. SC listed only in statesICDP
308        Solanum_crotonoides  SC <NA> y- this is diploid or polyploid but self-compatible. SC listed only in statesICDP
309       Solanum_cunninghamii  SC <NA> y- this is diploid SC. SC listed only in statesICDP
310    Solanum_cyaneopurpureum  SC <NA> y- this had a name problem(a dash dividing the name. Corrected
314            Solanum_dioicum  SC <NA> y- this is diploid or polyploid but SC. SC listed only in states ICDP
322         Solanum_ensifolium  SI <NA> y- this is a diploid SI. SI listed only in states ICDP
335       Solanum_habrochaites  SI <NA> y- this was listed as mainly SI in soltraits-acc. Corrected to SI
348          Solanum_iopetalum  SC <NA> y- this is a polyploid but self-compatible. Listesd as SI and SC in soltraits-acc
359       Solanum_leopoldensis  SC <NA> y -this is diploid SC. SC listed only in statesICDP
361      Solanum_linearifolium  SC <NA> y- this is truly a polyploid does not affect analyses
362         Solanum_linnaeanum  SC <NA> y- this is truly SC and diploid. Corrected
381       Solanum_multivenosum  SC <NA> y- this is truly a polyploid does not affect analyses
395        Solanum_paniculatum  SI <NA> y- this is diploid SI. SI listed only in statesICDP
398          Solanum_pennellii  SI <NA> y- this is listed as both SI and SC on soltraits-acc but SI in the statesICDP
400           Solanum_petraeum  SC <NA> y- this is diploid SC. SC listed only in statesICDP
422          Solanum_sejunctum  SC <NA> y- this is diploid or polyploid but self-compatible. SC listed only in statesICDP
440        Solanum_tetrathecum  SC <NA> y- this is truly a polyploid does not affect analyses
448        Solanum_tudununggae  SC <NA> y- this is diploid SC. SC listed only in statesICDP
449        Solanum_turneroides  SC <NA> y- this is both diploid/polyploid but SC. Corrected
452     Solanum_vansittartense  SC <NA> y- this is both diploid/polyploid but SC. SC listed only in statesICDP
462          Solanum_violaceum  SC <NA> y- this is diploid SC. SC listed only in statesICDP
464         Solanum_wendlandii  SC <NA> y- this is diploid SC. SC listed only in statesICDP
465     Symonanthus_aromaticus  SC <NA> y- this is truly a polyploid does not affect analyses
466     Symonanthus_bancroftii  SC <NA> y- this is truly a polyploid does not affect analyses
468         Withania_coagulans  SC <NA> y- this is truly a polyploid does not affect analyses

